region_code,country_code
499.0,87.0
401.0,60.0
210.0,60.0
243.0,60.0
299.0,87.0
483.0,60.0
410.0,34.0
433.0,87.0
251.0,87.0
264.0,87.0
208.0,87.0
272.0,87.0
330.0,87.0
429.0,87.0
124.0,60.0
220.0,87.0
476.0,96.0
327.0,87.0
216.0,60.0
453.0,60.0
436.0,87.0
409.0,87.0
155.0,60.0
485.0,87.0
472.0,87.0
469.0,87.0
143.0,87.0
275.0,87.0
494.0,87.0
304.0,60.0
231.0,87.0
481.0,87.0
471.0,60.0
348.0,96.0
194.0,87.0
296.0,60.0
294.0,87.0
431.0,60.0
305.0,60.0
130.0,60.0
346.0,60.0
463.0,87.0
126.0,87.0
178.0,87.0
204.0,87.0
191.0,87.0
502.0,87.0
478.0,87.0
375.0,60.0
476.0,87.0
242.0,60.0
177.0,87.0
444.0,87.0
411.0,60.0
123.0,87.0
498.0,87.0
325.0,87.0
146.0,60.0
308.0,87.0
382.0,31.0
441.0,87.0
134.0,87.0
297.0,87.0
202.0,87.0
110.0,87.0
465.0,60.0
511.0,60.0
158.0,87.0
492.0,87.0
420.0,87.0
269.0,87.0
324.0,87.0
148.0,60.0
512.0,87.0
391.0,60.0
213.0,60.0
339.0,60.0
337.0,87.0
226.0,87.0
122.0,87.0
496.0,60.0
501.0,60.0
332.0,60.0
450.0,60.0
428.0,87.0
315.0,87.0
184.0,87.0
167.0,60.0
374.0,60.0
225.0,87.0
254.0,87.0
393.0,60.0
343.0,87.0
100.0,31.0
486.0,60.0
295.0,87.0
399.0,60.0
253.0,87.0
258.0,60.0
161.0,60.0
387.0,87.0
359.0,60.0
174.0,87.0
284.0,60.0
181.0,87.0
520.0,60.0
439.0,60.0
508.0,60.0
384.0,87.0
448.0,87.0
418.0,87.0
310.0,87.0
462.0,59.0
106.0,87.0
170.0,87.0
205.0,87.0
239.0,60.0
203.0,87.0
