profile_id,device_info,os,browser,screen,device_type
Windows | UnknownOS | chrome 62.0 | UnknownScreen,Windows,nan,chrome 62.0,nan,desktop
UnknownDevice | Linux | chrome 62.0 | 1920x1080,nan,Linux,chrome 62.0,1920x1080,desktop
BLADE A602 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,BLADE A602 Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
XT1635-02 Build/NPN26.118-22-2 | UnknownOS | chrome 62.0 for android | UnknownScreen,XT1635-02 Build/NPN26.118-22-2,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1024x768,Windows,Windows 10,chrome 62.0,1024x768,desktop
UnknownDevice | Android | chrome 62.0 | 2560x1440,nan,Android,chrome 62.0,2560x1440,mobile
Windows | UnknownOS | firefox 57.0 | UnknownScreen,Windows,nan,firefox 57.0,nan,desktop
UnknownDevice | UnknownOS | mobile safari 11.0 | UnknownScreen,nan,nan,mobile safari 11.0,nan,mobile
UnknownDevice | UnknownOS | chrome 62.0 for ios | UnknownScreen,nan,nan,chrome 62.0 for ios,nan,mobile
rv:52.0 | Windows 10 | firefox | 1440x900,rv:52.0,Windows 10,firefox,1440x900,desktop
UnknownDevice | UnknownOS | chrome 62.0 | UnknownScreen,nan,nan,chrome 62.0,nan,desktop
UnknownDevice | UnknownOS | mobile safari generic | UnknownScreen,nan,nan,mobile safari generic,nan,mobile
Windows | Windows 10 | edge 14.0 | 1280x1024,Windows,Windows 10,edge 14.0,1280x1024,desktop
Blade V6 Plus Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,Blade V6 Plus Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1366x768,Windows,Windows 10,chrome 62.0,1366x768,desktop
BLL-L23 Build/HUAWEIBLL-L23 | UnknownOS | chrome 62.0 for android | UnknownScreen,BLL-L23 Build/HUAWEIBLL-L23,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536,iOS Device,iOS 9.3.5,mobile safari 9.0,2048x1536,mobile
KYOCERA-C6742A Build/LMY47V | Android 5.1.1 | chrome generic | 960x540,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540,mobile
D5306 Build/19.4.A.0.182 | UnknownOS | chrome 62.0 for android | UnknownScreen,D5306 Build/19.4.A.0.182,nan,chrome 62.0 for android,nan,mobile
Trident/7.0 | UnknownOS | ie 11.0 for desktop | UnknownScreen,Trident/7.0,nan,ie 11.0 for desktop,nan,desktop
UnknownDevice | UnknownOS | firefox 57.0 | UnknownScreen,nan,nan,firefox 57.0,nan,desktop
MacOS | Mac OS X 10_10_5 | safari generic | 2560x1600,MacOS,Mac OS X 10_10_5,safari generic,2560x1600,desktop
Moto E (4) Build/NMA26.42-19 | UnknownOS | chrome generic | UnknownScreen,Moto E (4) Build/NMA26.42-19,nan,chrome generic,nan,mobile
E2306 Build/26.3.A.1.33 | UnknownOS | chrome 62.0 for android | UnknownScreen,E2306 Build/26.3.A.1.33,nan,chrome 62.0 for android,nan,mobile
SM-J700M Build/MMB29K | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-J700M Build/MMB29K,nan,chrome 62.0 for android,nan,mobile
LG-H420 Build/LRX21Y | UnknownOS | other | UnknownScreen,LG-H420 Build/LRX21Y,nan,other,nan,mobile
UnknownDevice | UnknownOS | opera 49.0 | UnknownScreen,nan,nan,opera 49.0,nan,desktop
GT-I9060M Build/KTU84P | UnknownOS | chrome 62.0 for android | UnknownScreen,GT-I9060M Build/KTU84P,nan,chrome 62.0 for android,nan,mobile
UnknownDevice | UnknownOS | UnknownBrowser | UnknownScreen,nan,nan,nan,nan,nan
rv:38.0 | UnknownOS | firefox | UnknownScreen,rv:38.0,nan,firefox,nan,desktop
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640,mobile
SM-J700M Build/MMB29K | UnknownOS | chrome 61.0 for android | UnknownScreen,SM-J700M Build/MMB29K,nan,chrome 61.0 for android,nan,mobile
SM-E500M Build/KTU84P | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-E500M Build/KTU84P,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 7 | chrome 62.0 | 1920x1200,Windows,Windows 7,chrome 62.0,1920x1200,desktop
Windows | Windows 10 | edge 15.0 | UnknownScreen,Windows,Windows 10,edge 15.0,nan,desktop
UnknownDevice | UnknownOS | chrome 49.0 | UnknownScreen,nan,nan,chrome 49.0,nan,desktop
Windows | UnknownOS | edge 14.0 | UnknownScreen,Windows,nan,edge 14.0,nan,desktop
UnknownDevice | UnknownOS | chrome | UnknownScreen,nan,nan,chrome,nan,desktop
Moto G Play Build/MPIS24.241-15.3-26 | UnknownOS | chrome 62.0 for android | UnknownScreen,Moto G Play Build/MPIS24.241-15.3-26,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 10.2.0 | mobile safari 10.0 | 1136x640,iOS Device,iOS 10.2.0,mobile safari 10.0,1136x640,mobile
SGP521 | UnknownOS | chrome 62.0 for android | UnknownScreen,SGP521,nan,chrome 62.0 for android,nan,mobile
Windows | UnknownOS | edge 15.0 | UnknownScreen,Windows,nan,edge 15.0,nan,desktop
Trident/7.0 | Windows 7 | ie 11.0 for desktop | UnknownScreen,Trident/7.0,Windows 7,ie 11.0 for desktop,nan,desktop
SM-G531H Build/LMY48B | UnknownOS | chrome 57.0 for android | UnknownScreen,SM-G531H Build/LMY48B,nan,chrome 57.0 for android,nan,mobile
UnknownDevice | UnknownOS | chrome 56.0 | UnknownScreen,nan,nan,chrome 56.0,nan,desktop
MacOS | Mac OS X 10_11_6 | chrome 62.0 | 2560x1600,MacOS,Mac OS X 10_11_6,chrome 62.0,2560x1600,desktop
SM-G935F Build/MMB29K | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G935F Build/MMB29K,nan,chrome 62.0 for android,nan,mobile
LG-X180g Build/LMY47I | UnknownOS | chrome 46.0 for android | UnknownScreen,LG-X180g Build/LMY47I,nan,chrome 46.0 for android,nan,mobile
Windows | Windows 7 | chrome 62.0 | 1280x1024,Windows,Windows 7,chrome 62.0,1280x1024,desktop
