txn_id,amount,ts,channel,risk_score,product_cd,addr1,addr2,card_id,customer_id,profile_id,email_domain
3000008,14.38,2016-07-02 00:06:21,online,0.02,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 62.0 | UnknownScreen,gmail.com
3000013,74.94,2016-07-02 00:08:25,online,0.23,H,226.0,87.0,C08945-K1,C08945,Windows | Windows 10 | chrome 62.0 | UnknownScreen,gmail.com
3000014,100.07,2016-07-02 00:08:32,online,0.02,H,420.0,87.0,C08945-K1,C08945,,gmail.com
3000016,28.67,2016-07-02 00:11:07,online,0.82,C,,87.0,C11923-K1,C11923,Moto G (5) Plus Build/NPN25.137-72 | UnknownOS | android webview 4.0 | UnknownScreen,hotmail.com
3000020,17.92,2016-07-02 00:14:10,online,0.07,C,,87.0,C11923-K1,C11923,,hotmail.com
3000022,36.94,2016-07-02 00:19:39,in_person,0.02,W,204.0,87.0,C03575-K1,C03575,,gmail.com
3000033,49.91,2016-07-02 00:25:55,in_person,0.22,W,220.0,87.0,C08945-K1,C08945,,gmail.com
3000036,25.09,2016-07-02 00:27:36,in_person,0.01,W,220.0,87.0,C08945-K1,C08945,,gmail.com
3000039,68.44,2016-07-02 00:29:09,in_person,0.25,W,220.0,87.0,C08945-K1,C08945,,
3000041,7.05,2016-07-02 00:32:34,online,0.09,C,,87.0,C11923-K1,C11923,,gmail.com
3000053,117.01,2016-07-02 00:39:20,in_person,0.05,W,330.0,87.0,C02354-K1,C02354,,hotmail.com
3000057,18.25,2016-07-02 00:40:53,online,0.21,C,,87.0,C11923-K1,C11923,Moto G (5) Build/NPP25.137-72 | UnknownOS | chrome generic | UnknownScreen,hotmail.com
3000059,444.95,2016-07-02 00:42:11,in_person,0.04,W,420.0,87.0,C08945-K1,C08945,,yahoo.com
3000061,78.45,2016-07-02 00:42:31,online,0.03,C,,87.0,C13171-K1,C13171,Windows | UnknownOS | chrome 62.0 | UnknownScreen,gmail.com
3000068,91.91,2016-07-02 00:48:27,in_person,0.17,W,512.0,87.0,C08945-K1,C08945,,anonymous.com
3000078,23.36,2016-07-02 00:54:56,online,0.15,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari generic | UnknownScreen,hotmail.com
3000079,38.8,2016-07-02 00:54:57,online,0.23,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari 10.0 | UnknownScreen,hotmail.com
3000084,294.77,2016-07-02 00:56:36,online,0.6,C,,87.0,C04597-K1,C04597,UnknownDevice | UnknownOS | firefox 57.0 | UnknownScreen,gmail.com
3000093,17.17,2016-07-02 01:01:12,online,0.31,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari 11.0 | UnknownScreen,hotmail.com
3000110,19.97,2016-07-02 01:11:03,in_person,0.19,W,325.0,87.0,C02354-K1,C02354,,gmail.com
3000113,23.37,2016-07-02 01:14:03,online,0.23,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari generic | UnknownScreen,hotmail.com
3000114,51.96,2016-07-02 01:14:07,online,0.05,C,,87.0,C11923-K1,C11923,,hotmail.com
3000120,155.43,2016-07-02 01:17:26,online,0.26,C,,87.0,C00259-K1,C00259,UnknownDevice | UnknownOS | chrome 62.0 for ios | UnknownScreen,outlook.com
3000123,8.13,2016-07-02 01:18:00,online,0.63,C,,87.0,C11923-K1,C11923,ALE-L23 Build/HuaweiALE-L23 | UnknownOS | chrome 46.0 for android | UnknownScreen,hotmail.com
3000127,75.31,2016-07-02 01:20:30,online,0.11,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 62.0 | UnknownScreen,gmail.com
3000130,50.01,2016-07-02 01:21:29,in_person,0.12,W,204.0,87.0,C09998-K1,C09998,,yahoo.com
3000150,150.05,2016-07-02 01:38:35,online,0.2,H,512.0,87.0,C03277-K1,C03277,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750,aol.com
3000151,97.09,2016-07-02 01:38:40,in_person,0.14,W,310.0,87.0,C11464-K1,C11464,,
3000164,15.68,2016-07-02 01:49:56,online,0.1,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 62.0 | UnknownScreen,hotmail.com
3000172,19.17,2016-07-02 01:59:13,online,0.57,C,,87.0,C11923-K1,C11923,LG-K580 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,gmail.com
3000174,49.93,2016-07-02 02:00:32,online,0.04,S,170.0,87.0,C11227-K1,C11227,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1680x1050,
3000183,39.92,2016-07-02 02:10:20,in_person,0.47,W,220.0,87.0,C08945-K2,C08945,,aol.com
3000190,32.36,2016-07-02 02:19:56,online,0.68,C,,87.0,C11923-K1,C11923,Moto G (4) Build/NPJ25.93-14.5 | UnknownOS | chrome generic | UnknownScreen,gmail.com
3000196,30.12,2016-07-02 02:26:37,online,0.14,C,,87.0,C12982-K1,C12982,Windows | UnknownOS | chrome 61.0 | UnknownScreen,hotmail.com
3000197,15.31,2016-07-02 02:27:13,online,0.01,C,,87.0,C11923-K1,C11923,SM-T710 Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,gmail.com
3000199,201.0,2016-07-02 02:27:42,in_person,0.09,W,327.0,87.0,C13440-K1,C13440,,
3000204,7.31,2016-07-02 02:33:09,online,0.1,C,,87.0,C11923-K1,C11923,SAMSUNG | UnknownOS | chrome generic | UnknownScreen,gmail.com
3000217,28.41,2016-07-02 02:42:30,online,0.28,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 62.0 | UnknownScreen,gmail.com
3000232,8.09,2016-07-02 02:53:29,online,0.09,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 61.0 | UnknownScreen,hotmail.com
3000237,57.81,2016-07-02 02:56:42,online,0.05,C,,87.0,C07220-K1,C07220,D5306 Build/19.4.A.0.182 | UnknownOS | chrome 62.0 for android | UnknownScreen,gmail.com
3000238,100.02,2016-07-02 02:57:08,in_person,0.05,W,110.0,87.0,C08945-K1,C08945,,anonymous.com
3000242,14.46,2016-07-02 03:04:11,online,0.13,C,,87.0,C11923-K1,C11923,Windows | UnknownOS | chrome 61.0 | UnknownScreen,hotmail.com
3000254,59.07,2016-07-02 03:25:00,in_person,0.25,W,476.0,87.0,C06403-K1,C06403,,
3000260,58.99,2016-07-02 03:34:17,in_person,0.19,W,325.0,87.0,C02354-K1,C02354,,hotmail.com
3000264,99.91,2016-07-02 03:45:04,online,0.33,H,315.0,87.0,C00732-K1,C00732,Trident/7.0 | Windows 10 | ie 11.0 for desktop | UnknownScreen,ymail.com
3000274,12.41,2016-07-02 03:57:01,online,0.67,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari 11.0 | UnknownScreen,hotmail.com
3000276,49.02,2016-07-02 04:00:53,in_person,0.11,W,191.0,87.0,C06403-K1,C06403,,gmail.com
3000280,12.39,2016-07-02 04:05:53,online,0.04,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari 11.0 | UnknownScreen,hotmail.com
3000295,30.0,2016-07-02 04:32:33,in_person,0.06,W,110.0,87.0,C08945-K1,C08945,,
3000298,25.9,2016-07-02 04:37:16,in_person,0.13,W,110.0,87.0,C08945-K1,C08945,,
3000300,36.46,2016-07-02 04:43:11,in_person,0.03,W,110.0,87.0,C08945-K1,C08945,,
3000305,12.6,2016-07-02 04:49:23,online,0.13,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | chrome 62.0 | UnknownScreen,gmail.com
3000307,60.03,2016-07-02 04:55:21,in_person,0.23,W,220.0,87.0,C08945-K1,C08945,,yahoo.com
3000311,86.93,2016-07-02 05:01:55,in_person,0.17,W,220.0,87.0,C08945-K1,C08945,,yahoo.com
3000314,13.5,2016-07-02 05:05:15,online,0.02,C,,87.0,C11923-K1,C11923,Blade V6 Build/LRX22G | UnknownOS | chrome 62.0 for android | UnknownScreen,hotmail.com
3000321,35.64,2016-07-02 05:23:59,online,0.44,C,,87.0,C11923-K1,C11923,UnknownDevice | UnknownOS | mobile safari 11.0 | UnknownScreen,hotmail.com
